OID_,pointid,grid_code,POINT_X,POINT_Y
1,1,681.6940308,381604.500000000931323,5703090.500000000000000
2,2,681.6880493,381605.500000000000000,5703090.500000000000000
3,3,681.7060547,381606.500000000931323,5703090.500000000000000
4,4,681.6550293,381607.500000000000000,5703090.500000000000000
5,5,681.6900024,381608.500000001862645,5703090.500000000000000
6,6,681.6670532,381609.500000000931323,5703090.500000000000000
7,7,681.6710205,381610.500000000000000,5703090.500000000000000
8,8,681.6590576,381611.500000000931323,5703090.500000000000000
9,9,681.6920166,381612.500000000000000,5703090.500000000000000
10,10,681.6510620,381613.500000001862645,5703090.500000000000000
11,11,681.6170044,381614.500000000931323,5703090.500000000000000
12,12,681.6520386,381615.500000000000000,5703090.500000000000000
13,13,681.6690063,381616.500000000931323,5703090.500000000000000
14,14,681.5870361,381617.500000000000000,5703090.500000000000000
15,15,681.5600586,381618.499999999068677,5703090.500000000000000
16,16,681.5140381,381619.500000000931323,5703090.500000000000000
17,17,681.5920410,381620.500000000000000,5703090.500000000000000
18,18,681.5960083,381621.500000000931323,5703090.500000000000000
19,19,681.6240234,381622.500000000000000,5703090.500000000000000
20,20,681.5890503,381623.500000000000000,5703090.500000000000000
21,21,681.6430054,381624.500000000931323,5703090.500000000000000
22,22,681.6590576,381625.500000000000000,5703090.500000000000000
23,23,681.6260376,381626.500000000931323,5703090.500000000000000
24,24,681.6550293,381627.500000000931323,5703090.500000000000000
25,25,681.6190186,381628.500000000000000,5703090.500000000000000
26,26,681.5450439,381629.500000000931323,5703090.500000000000000
27,27,681.5420532,381630.500000000000000,5703090.500000000000000
28,28,681.5780029,381631.500000001862645,5703090.500000000000000
29,29,681.5390625,381632.500000000931323,5703090.500000000000000
30,30,681.5530396,381633.500000000000000,5703090.500000000000000
31,31,681.5880127,381634.500000000931323,5703090.500000000000000
32,32,681.6100464,381635.500000000000000,5703090.500000000000000
33,33,681.6170044,381636.500000001862645,5703090.500000000000000
34,34,681.5560303,381637.500000000931323,5703090.500000000000000
35,35,681.6010132,381638.500000000000000,5703090.500000000000000
36,36,681.5370483,381639.500000000931323,5703090.500000000000000
37,37,681.5290527,381640.500000000000000,5703090.500000000000000
38,38,681.4870605,381641.499999999068677,5703090.500000000000000
39,39,681.4390259,381642.500000000931323,5703090.500000000000000
40,40,681.4350586,381643.500000000000000,5703090.500000000000000
41,41,681.3950195,381644.500000000931323,5703090.500000000000000
42,42,681.3570557,381645.500000000000000,5703090.500000000000000
43,43,681.2840576,381646.500000000000000,5703090.500000000000000
44,44,681.1880493,381647.500000000931323,5703090.500000000000000
45,45,681.0790405,381648.500000000000000,5703090.500000000000000
46,46,681.0160522,381649.500000001862645,5703090.500000000000000
47,47,680.9380493,381650.500000000931323,5703090.500000000000000
48,48,681.0640259,381651.500000000000000,5703090.500000000000000
49,49,681.1640625,381652.500000000931323,5703090.500000000000000
50,50,681.3320312,381653.500000000000000,5703090.500000000000000
51,51,681.5380249,381654.500000001862645,5703090.500000000000000
52,52,681.5920410,381655.500000000931323,5703090.500000000000000
53,53,681.7150269,381656.500000000000000,5703090.500000000000000
54,54,681.8590088,381657.500000000931323,5703090.500000000000000
55,55,681.9940186,381658.500000000000000,5703090.500000000000000
56,56,682.0420532,381659.500000001862645,5703090.500000000000000
57,57,682.1770020,381660.500000000931323,5703090.500000000000000
58,58,682.3590088,381661.500000000000000,5703090.500000000000000
59,59,682.4920044,381662.500000000931323,5703090.500000000000000
60,60,682.6840210,381663.500000000000000,5703090.500000000000000
61,61,682.8800049,381664.499999999068677,5703090.500000000000000
62,62,682.9910278,381665.500000000931323,5703090.500000000000000
63,63,683.2530518,381666.500000000000000,5703090.500000000000000
64,64,683.2650146,381667.500000000931323,5703090.500000000000000
65,65,683.3010254,381668.500000000000000,5703090.500000000000000
66,66,683.2500610,381669.500000000000000,5703090.500000000000000
67,67,683.1050415,381670.500000000931323,5703090.500000000000000
68,68,682.8490601,381671.500000000000000,5703090.500000000000000
69,69,681.6920166,381604.500000000931323,5703089.500000000000000
70,70,681.6860352,381605.500000000000000,5703089.500000000000000
71,71,681.6710205,381606.500000000931323,5703089.500000000000000
72,72,681.6620483,381607.500000000000000,5703089.500000000000000
73,73,681.6700439,381608.500000001862645,5703089.500000000000000
74,74,681.6700439,381609.500000000931323,5703089.500000000000000
75,75,681.6840210,381610.500000000000000,5703089.500000000000000
76,76,681.6800537,381611.500000000931323,5703089.500000000000000
77,77,681.6740112,381612.500000000000000,5703089.500000000000000
78,78,681.6630249,381613.500000001862645,5703089.500000000000000
79,79,681.6120605,381614.500000000931323,5703089.500000000000000
80,80,681.6290283,381615.500000000000000,5703089.500000000000000
81,81,681.6030273,381616.500000000931323,5703089.500000000000000
82,82,681.6030273,381617.500000000000000,5703089.500000000000000
83,83,681.5820312,381618.499999999068677,5703089.500000000000000
84,84,681.5660400,381619.500000000931323,5703089.500000000000000
85,85,681.5270386,381620.500000000000000,5703089.500000000000000
86,86,681.6070557,381621.500000000931323,5703089.500000000000000
87,87,681.5620117,381622.500000000000000,5703089.500000000000000
88,88,681.6610107,381623.500000000000000,5703089.500000000000000
89,89,681.6560059,381624.500000000931323,5703089.500000000000000
90,90,681.6610107,381625.500000000000000,5703089.500000000000000
91,91,681.6200562,381626.500000000931323,5703089.500000000000000
92,92,681.5790405,381627.500000000931323,5703089.500000000000000
93,93,681.5990601,381628.500000000000000,5703089.500000000000000
94,94,681.5690308,381629.500000000931323,5703089.500000000000000
95,95,681.5600586,381630.500000000000000,5703089.500000000000000
96,96,681.4990234,381631.500000001862645,5703089.500000000000000
